fecha;provincia;Sexo;edad;personas_vacunadas_campaña_2025_acumulado;porcentaje_residentes_campaña_2025;sigla
2026-03-22;Valladolid;Hombre;05-12;47;0.257830929;VA
2026-03-22;Valladolid;Hombre;13-19;208;1.078223006;VA
2026-03-22;Valladolid;Hombre;50-59;3209;7.587185246;VA
2026-03-22;Valladolid;Hombre;60-69;8907;25.47987528;VA
2026-03-22;Valladolid;Hombre;70-79;13712;52.99323671;VA
2026-03-22;Valladolid;Hombre;>89;2139;76.50214592;VA
2026-03-22;Valladolid;Mujer;05-12;34;0.198320112;VA
2026-03-22;Valladolid;Mujer;50-59;3406;7.895956973;VA
2026-03-22;Valladolid;Mujer;70-79;12961;42.57744489;VA
2026-03-22;Zamora;Hombre;05-12;7;0.16021973;ZA
2026-03-22;Zamora;Hombre;13-19;13;0.288888889;ZA
2026-03-22;Zamora;Hombre;60-69;2118;15.2703677;ZA
2026-03-22;Zamora;Mujer;0-4;0;0.0;ZA
2026-03-22;Zamora;Mujer;20-29;80;1.224739743;ZA
2026-03-22;Zamora;Hombre;0-4;0;0.0;ZA
2026-03-22;Zamora;Hombre;20-29;63;0.898972603;ZA
2026-03-22;Zamora;Hombre;40-49;275;2.417369902;ZA
2026-03-22;Zamora;Hombre;70-79;4270;42.52988048;ZA
2026-03-22;Zamora;Hombre;80-89;3532;57.64648278;ZA
2026-03-22;Zamora;Mujer;05-12;4;0.099527246;ZA
2026-03-22;Zamora;Mujer;30-39;191;2.571005519;ZA
2026-03-22;Zamora;Mujer;40-49;362;3.39459865;ZA
2026-03-22;Zamora;Mujer;50-59;675;5.391373802;ZA
2026-03-22;Zamora;Mujer;>89;2351;63.79918589;ZA
2026-03-22;Zamora;Hombre;30-39;117;1.458489155;ZA
2026-03-22;Zamora;Hombre;50-59;622;4.843859512;ZA
2026-03-22;Zamora;Hombre;>89;1268;67.59061834;ZA
2026-03-22;Zamora;Mujer;13-19;17;0.40065991;ZA
2026-03-22;Zamora;Mujer;60-69;1694;12.81973664;ZA
2026-03-22;Zamora;Mujer;70-79;3616;33.82600561;ZA
2026-03-22;Zamora;Mujer;80-89;4432;50.88404133;ZA
2026-03-15;Ávila;Hombre;20-29;85;1.117979745;AV
2026-03-15;Ávila;Hombre;50-59;712;5.601888277;AV
2026-03-15;Ávila;Mujer;20-29;109;1.565642057;AV
2026-03-15;Ávila;Mujer;50-59;800;6.488240065;AV
2026-03-15;Ávila;Mujer;80-89;3197;50.8347909;AV
2026-03-15;Ávila;Hombre;0-4;2;0.080645161;AV
2026-03-15;Ávila;Hombre;13-19;36;0.636942675;AV
2026-03-15;Ávila;Hombre;30-39;140;1.687153531;AV
2026-03-15;Ávila;Hombre;40-49;301;2.659010601;AV
2026-03-15;Ávila;Hombre;70-79;3701;43.58219501;AV
2026-03-15;Ávila;Hombre;80-89;2600;55.98621878;AV
2026-03-15;Ávila;Hombre;>89;905;63.06620209;AV
2026-03-15;Ávila;Mujer;05-12;4;0.080224629;AV
2026-03-15;Ávila;Mujer;40-49;376;3.483094025;AV
2026-03-15;Ávila;Mujer;70-79;3156;36.79179296;AV
2026-03-15;Ávila;Hombre;05-12;9;0.167722698;AV
2026-03-15;Ávila;Hombre;60-69;2224;17.4049147;AV
2026-03-15;Ávila;Mujer;0-4;0;0.0;AV
2026-03-15;Ávila;Mujer;13-19;25;0.487614589;AV
2026-03-15;Ávila;Mujer;30-39;205;2.589364658;AV
2026-03-15;Ávila;Mujer;60-69;1942;16.36057287;AV
2026-03-15;Ávila;Mujer;>89;1733;61.1287478;AV
2026-03-15;Burgos;Hombre;0-4;4;0.07029877;BU
2026-03-15;Burgos;Hombre;30-39;261;1.314331755;BU
2026-03-15;Burgos;Hombre;>89;1668;70.82802548;BU
2026-03-15;Burgos;Mujer;0-4;4;0.075800644;BU
2026-03-15;Burgos;Mujer;20-29;264;1.619631902;BU
2026-03-15;Burgos;Mujer;30-39;455;2.491785323;BU
2026-03-15;Burgos;Mujer;70-79;7303;38.18162807;BU
2026-03-15;Burgos;Mujer;>89;4089;69.98117405;BU
2026-03-15;Burgos;Hombre;13-19;71;0.547670472;BU
2026-03-15;Burgos;Hombre;20-29;138;0.754428165;BU
2026-03-15;Burgos;Hombre;40-49;639;2.403068707;BU
